===Base de datos stocksekai

== Estructura de tabla para la tabla products_backup_nombres_20260108

|------
|Columna|Tipo|Nulo|Predeterminado
|3975|914|AUDIO - AURICULARES INALÁMBRICOS - TEROS - TE-8072N - AURICULAR TRUE WIRELESS (TWS), BLUETOOTH, ESTUCHE DE CARGA, COLOR NEGRO - SIN N/P|2026-01-08 11:51:54
|3976|908|AUDIO - AURICULARES INALÁMBRICOS - TEROS - TE-8072W - AURICULAR TRUE WIRELESS (TWS), BLUETOOTH, ESTUCHE DE CARGA, COLOR BLANCO - SIN N/P|2026-01-08 11:51:54
|3977|1242|AUDIO - AURICULARES INALÁMBRICOS - TEROS - TE-8074N - AURICULAR TRUE WIRELESS (TWS), BLUETOOTH, ESTUCHE DE CARGA, COLOR NEGRO - SIN N/P|2026-01-08 11:51:54
|3978|920|AUDIO - AURICULARES PROFESIONALES - BEHRINGER - HPM1100 - AURICULAR ESTÉREO PROFESIONAL CON MICRÓFONO DESMONTABLE, PARA INTERCOMUNICACIÓN - SIN N/P|2026-01-08 11:51:54
|3979|892|AUDIO - AURICULARES - GENIUS - HS-M905BT - AURICULAR BLUETOOTH CON MICRÓFONO, DIADEMA, COLOR NEGRO - SIN N/P|2026-01-08 11:51:54
|3980|893|AUDIO - AURICULARES - GENIUS - HS-M905BT - AURICULAR BLUETOOTH CON MICRÓFONO, DIADEMA, COLOR BLANCO - SIN N/P|2026-01-08 11:51:54
|3981|158|AUDIO - AURICULARES - HALION - HA-S16 - AURICULAR TIPO NUCA, MICRÓFONO HANDSFREE, CONTESTADOR DE LLAMADAS, COLOR NEGRO - SIN N/P|2026-01-08 11:51:54
|3982|640|AUDIO - AURICULARES GAMER - HALION - MONKEY S2 - AURICULAR GAMING CON MICRÓFONO, ILUMINACIÓN LED, COLOR NARANJA - SIN N/P|2026-01-08 11:51:54
|3983|1216|AUDIO - AURICULARES GAMER - TEROS - TE-8170N - AURICULAR GAMING 7.1 CON MICRÓFONO, CONECTOR USB, LUCES RGB, COLOR NEGRO - SIN N/P|2026-01-08 11:51:54
|3984|795|AUDIO - AURICULARES - HP - DHH-1112 - AURICULAR CON MICRÓFONO, CONECTOR 3.5 MM, COLOR NEGRO/ROSA - 8CA70AA|2026-01-08 11:51:54
|3985|945|AUDIO - AURICULARES - LENOVO - GENÉRICO - AURICULAR ESTÉREO ON-EAR, CON CAJA DE CONTROL, INTERFAZ USB-A - SIN N/P|2026-01-08 11:51:54
|3986|664|AUDIO - AURICULARES - TEROS - TE-8080 - AURICULAR INALÁMBRICO BLUETOOTH, CONTROLES INTEGRADOS, CONEXIÓN 3.5 MM, COLOR PLATA - SIN N/P|2026-01-08 11:51:54
|3987|1038|AUDIO - AURICULARES - TEROS - TE-8037N - AURICULAR CON MICRÓFONO, CONECTOR USB, COLOR NEGRO - SIN N/P|2026-01-08 11:51:54
|3988|682|AUDIO - AURICULARES INALÁMBRICOS - XIAOMI REDMI - BUDS 3 LITE - AURICULAR TRUE WIRELESS BLUETOOTH, ESTUCHE DE CARGA, COLOR NEGRO - BHR5489GL|2026-01-08 11:51:54
|3989|554|COMPONENTE PARA SERVIDOR - BAHÍA ÓPTICA - HP - 874577-B21 - BAHÍA DE CONVERSIÓN PARA UNIDAD ÓPTICA 9.5 MM, PARA SERVIDOR ML350 GEN10 - 874577-B21|2026-01-08 11:51:54
|3990|448|ACCESORIO PARA MÓVIL - BATERÍA - HUAWEI - GENÉRICO - BATERÍA DE REEMPLAZO PARA TELÉFONO HUAWEI Y5 II - SIN N/P|2026-01-08 11:51:54
|3991|564|ACCESORIO FOTOGRÁFICO - BATERÍA - CANON - BP-828 - BATERÍA DE IONES DE LITIO PARA CÁMARAS CANON COMPATIBLES - SIN N/P|2026-01-08 11:51:54
|3992|543|ACCESORIO PARA COMPUTADORA - BATERÍA - GENÉRICO - GENÉRICO - BATERÍA DE REEMPLAZO PARA LAPTOP, COMPATIBLE CON MÚLTIPLES MARCAS Y MODELOS - SIN N/P|2026-01-08 11:51:54
|3993|413|ACCESORIO PARA MÓVIL - POWER BANK - SONY - GENÉRICO - BATERÍA EXTERNA (POWER BANK) 10000MAH, PUERTO USB, COLOR NEGRO - SIN N/P|2026-01-08 11:51:54
|3994|446|ACCESORIO PARA MÓVIL - BATERÍA - SAMSUNG - EB-BJ700BBC - BATERÍA DE REEMPLAZO ORIGINAL PARA TELÉFONO SAMSUNG GALAXY J7 - EB-BJ700BBC|2026-01-08 11:51:54
|3995|447|ACCESORIO PARA MÓVIL - BATERÍA - SAMSUNG - GENÉRICO - BATERÍA DE REEMPLAZO PARA TELÉFONOS SAMSUNG GALAXY S3 Y J1 - SIN N/P|2026-01-08 11:51:54
|3996|894|AUDIO - AURICULARES PROFESIONALES - BEHRINGER - BH470U - AURICULAR ESTÉREO PREMIUM CON MICRÓFONO DESMONTABLE Y CABLE USB, PARA ESTUDIO/DJ - SIN N/P|2026-01-08 11:51:54
|3997|1283|AUDIO - SISTEMA DE AUDIO - BEHRINGER - MPA40BT-PRO - SISTEMA PORTÁTIL DE MEGAFONÍA CON BLUETOOTH, MICRÓFONO INALÁMBRICO, ALTAVOZ - SIN N/P|2026-01-08 11:51:54
|3998|1285|AUDIO - SISTEMA DE MICRÓFONO - BEHRINGER - ULM100USB - SISTEMA DE MICRÓFONO INALÁMBRICO CON RECEPTOR USB Y LAVALIER - SIN N/P|2026-01-08 11:51:54
|3999|107|COMPONENTE DE COMPUTADORA - UNIDAD ÓPTICA - LG - BH16NS40 - UNIDAD REGRABADORA BLU-RAY 16X SATA INTERNA, SOPORTE 3D Y M-DISC - SIN N/P|2026-01-08 11:51:54
|4000|292|MATERIAL DE OFICINA - BOLÍGRAFO - PILOT - BL-G1-5 - BOLÍGRAFO DE PUNTA DE GEL, TINTA AZUL - SIN N/P|2026-01-08 11:51:54
|4001|525|CONSUMIBLE DE IMPRESIÓN - TINTA - BROTHER - 3PK-TANK TRIPACK - KIT DE TINTA (MAGENTA, CYAN, YELLOW) 5,000 PÁGINAS POR COLOR, PARA IMPRESORAS DE TANQUE - SIN N/P|2026-01-08 11:51:54
|4002|113|CONSUMIBLE DE IMPRESIÓN - TINTA ORIGINAL - CANON - GI-190BK - TINTA NEGRA PARA IMPRESORAS MEGATANK, 135 ML, HASTA 7000 PÁGINAS - GI-190 BK|2026-01-08 12:11:01
|4003|111|CONSUMIBLE DE IMPRESIÓN - TINTA ORIGINAL - CANON - GI-190C - TINTA CIAN PARA IMPRESORAS MEGATANK, 70 ML, PARA PIXMA G1100/G2100/G3100/G4100 - SIN N/P|2026-01-08 12:11:01
|4004|110|CONSUMIBLE DE IMPRESIÓN - TINTA ORIGINAL - CANON - GI-190M - TINTA MAGENTA PARA IMPRESORAS MEGATANK, 70 ML, PARA PIXMA G1100/G2100/G3100/G4100 - SIN N/P|2026-01-08 12:11:01
|4005|112|CONSUMIBLE DE IMPRESIÓN - TINTA ORIGINAL - CANON - GI-190Y - TINTA AMARILLA PARA IMPRESORAS MEGATANK, 70 ML, PARA PIXMA G1100/G2100/G3100/G4100 - SIN N/P|2026-01-08 12:11:01
|4006|400|CONSUMIBLE DE IMPRESIÓN - TINTA DE REPOSICIÓN - GENÉRICO - GENÉRICO - TINTA PREMIUM CYAN PARA SISTEMA CISS, 70 ML, FORMATO BOLSA - SIN N/P|2026-01-08 12:11:01
|4007|402|CONSUMIBLE DE IMPRESIÓN - TINTA DE REPOSICIÓN - GENÉRICO - GENÉRICO - TINTA PREMIUM MAGENTA PARA SISTEMA CISS, 70 ML, FORMATO BOLSA - SIN N/P|2026-01-08 12:11:01
|4008|401|CONSUMIBLE DE IMPRESIÓN - TINTA DE REPOSICIÓN - GENÉRICO - GENÉRICO - TINTA PREMIUM YELLOW PARA SISTEMA CISS, 70 ML, FORMATO BOLSA - SIN N/P|2026-01-08 12:11:01
|4009|100|CONSUMIBLE DE IMPRESIÓN - TINTA ORIGINAL - EPSON - T673120 - TINTA NEGRA PARA IMPRESORAS DE TANQUE, 70 ML, MODELO 673 - T673120|2026-01-08 12:11:01
|4010|151|CONSUMIBLE DE IMPRESIÓN - TINTA ORIGINAL - EPSON - T673220 - TINTA CIAN PARA IMPRESORAS DE TANQUE, 70 ML, MODELO 673 - T673220|2026-01-08 12:11:01
|4011|152|CONSUMIBLE DE IMPRESIÓN - TINTA ORIGINAL - EPSON - T673320 - TINTA MAGENTA PARA IMPRESORAS DE TANQUE, 70 ML, MODELO 673 - T673320|2026-01-08 12:11:01
|4012|99|CONSUMIBLE DE IMPRESIÓN - TINTA ORIGINAL - EPSON - T673420 - TINTA AMARILLA PARA IMPRESORAS DE TANQUE, 70 ML, MODELO 673 - T673420|2026-01-08 12:11:01
|4013|98|CONSUMIBLE DE IMPRESIÓN - TINTA ORIGINAL - EPSON - T673520 - TINTA CIAN CLARO (LIGHT CYAN) PARA IMPRESORAS DE TANQUE, 70 ML - T673520|2026-01-08 12:11:01
|4014|153|CONSUMIBLE DE IMPRESIÓN - TINTA ORIGINAL - EPSON - T673620 - TINTA MAGENTA CLARO (LIGHT MAGENTA) PARA IMPRESORAS DE TANQUE, 70 ML - T673620|2026-01-08 12:11:01
|4015|334|CONSUMIBLE DE IMPRESIÓN - TINTA ORIGINAL - HP - GT52 (M0H55AL) - TINTA MAGENTA, 70 ML, PARA IMPRESORAS DE TANQUE HP SMART-TANK - M0H55AL|2026-01-08 12:11:01
|4016|335|CONSUMIBLE DE IMPRESIÓN - TINTA ORIGINAL - HP - GT52 (M0H56AL) - TINTA AMARILLA, 70 ML, PARA IMPRESORAS DE TANQUE HP SMART-TANK - M0H56AL|2026-01-08 12:11:01
|4017|336|CONSUMIBLE DE IMPRESIÓN - TINTA ORIGINAL - HP - GT52 (M0H54AL) - TINTA CIAN, 70 ML, PARA IMPRESORAS DE TANQUE HP SMART-TANK - M0H54AL|2026-01-08 12:11:01
|4018|609|CONSUMIBLE DE IMPRESIÓN - TINTA ORIGINAL - HP - GT53 (1VV22AL) - TINTA NEGRA, 70 ML, PARA IMPRESORAS DE TANQUE HP SMART-TANK - 1VV22AL|2026-01-08 12:11:01
|4019|351|CONSUMIBLE DE IMPRESIÓN - TINTA DE REPOSICIÓN - GENÉRICO - GENÉRICO - TINTA PREMIUM AMARILLA INKJET, 100 ML, PARA IMPRESORAS DE INYECCIÓN - SIN N/P|2026-01-08 12:11:01
|4020|311|CONSUMIBLE DE IMPRESIÓN - TINTA DE REPOSICIÓN - GENÉRICO - GENÉRICO - TINTA PREMIUM CIAN INKJET, 100 ML, PARA IMPRESORAS DE INYECCIÓN - SIN N/P|2026-01-08 12:11:01
|4021|350|CONSUMIBLE DE IMPRESIÓN - TINTA DE REPOSICIÓN - GENÉRICO - GENÉRICO - TINTA PREMIUM MAGENTA INKJET, 100 ML, PARA IMPRESORAS DE INYECCIÓN - SIN N/P|2026-01-08 12:11:01
|4022|909|CONSUMIBLE DE IMPRESIÓN - TINTA DE REPOSICIÓN - GENÉRICO - GENÉRICO - TINTA PREMIUM NEGRA INKJET, 100 ML, PARA IMPRESORAS DE INYECCIÓN - SIN N/P|2026-01-08 12:11:01
|4023|403|CONSUMIBLE DE IMPRESIÓN - TINTA DE REPOSICIÓN - GENÉRICO - GENÉRICO - TINTA PREMIUM CELESTE PARA SISTEMA CISS O RECARGA, 250 ML - SIN N/P|2026-01-08 12:11:01
|4024|315|CONSUMIBLE DE IMPRESIÓN - TINTA DE REPOSICIÓN - GENÉRICO - GENÉRICO - TINTA PREMIUM ROSADA PARA SISTEMA CISS O RECARGA, 250 ML - SIN N/P|2026-01-08 12:11:01
|4025|307|CONSUMIBLE DE IMPRESIÓN - TINTA DE REPOSICIÓN - GENÉRICO - GENÉRICO - TINTA PREMIUM AMARILLA, 500 ML, GRAN CAPACIDAD - SIN N/P|2026-01-08 12:11:01
|4026|304|CONSUMIBLE DE IMPRESIÓN - TINTA DE REPOSICIÓN - GENÉRICO - GENÉRICO - TINTA PREMIUM CIAN, 500 ML, GRAN CAPACIDAD - SIN N/P|2026-01-08 12:11:01
